# Unicode 17.0.0 symboles imprimables
Alchimie	🝥	Alchemical Symbol For Crucible	ALCHEMICAL SYMBOL FOR CRUCIBLE|Alchemical Symbols|So
Alchimie	🝦	Alchemical Symbol For Crucible 2	ALCHEMICAL SYMBOL FOR CRUCIBLE-2|Alchemical Symbols|So
Alchimie	🝧	Alchemical Symbol For Crucible 3	ALCHEMICAL SYMBOL FOR CRUCIBLE-3|Alchemical Symbols|So
Alchimie	🝨	Alchemical Symbol For Crucible 4	ALCHEMICAL SYMBOL FOR CRUCIBLE-4|Alchemical Symbols|So
Alchimie	🝩	Alchemical Symbol For Crucible 5	ALCHEMICAL SYMBOL FOR CRUCIBLE-5|Alchemical Symbols|So
Alchimie	🝪	Alchemical Symbol For Alembic	ALCHEMICAL SYMBOL FOR ALEMBIC|Alchemical Symbols|So
Alchimie	🝫	Alchemical Symbol For Bath Of Mary	ALCHEMICAL SYMBOL FOR BATH OF MARY|Alchemical Symbols|So
Alchimie	🝬	Alchemical Symbol For Bath Of Vapours	ALCHEMICAL SYMBOL FOR BATH OF VAPOURS|Alchemical Symbols|So
Alchimie	🝭	Alchemical Symbol For Retort	ALCHEMICAL SYMBOL FOR RETORT|Alchemical Symbols|So
Alchimie	🝮	Alchemical Symbol For Hour	ALCHEMICAL SYMBOL FOR HOUR|Alchemical Symbols|So
Alchimie	🝯	Alchemical Symbol For Night	ALCHEMICAL SYMBOL FOR NIGHT|Alchemical Symbols|So
Alchimie	🝰	Alchemical Symbol For Day Night	ALCHEMICAL SYMBOL FOR DAY-NIGHT|Alchemical Symbols|So
Alchimie	🝱	Alchemical Symbol For Month	ALCHEMICAL SYMBOL FOR MONTH|Alchemical Symbols|So
Alchimie	🝲	Alchemical Symbol For Half Dram	ALCHEMICAL SYMBOL FOR HALF DRAM|Alchemical Symbols|So
Alchimie	🝳	Alchemical Symbol For Half Ounce	ALCHEMICAL SYMBOL FOR HALF OUNCE|Alchemical Symbols|So
Alchimie	🝴	Lot Of Fortune	LOT OF FORTUNE|Alchemical Symbols|So
Alchimie	🝵	Occultation	OCCULTATION|Alchemical Symbols|So
Alchimie	🝶	Lunar Eclipse	LUNAR ECLIPSE|Alchemical Symbols|So
Alchimie	🝻	Haumea	HAUMEA|Alchemical Symbols|So
Alchimie	🝼	Makemake	MAKEMAKE|Alchemical Symbols|So
Alchimie	🝽	Gonggong	GONGGONG|Alchemical Symbols|So
Alchimie	🝾	Quaoar	QUAOAR|Alchemical Symbols|So
Alchimie	🝿	Orcus	ORCUS|Alchemical Symbols|So
Autres symboles	^	Circumflex Accent	CIRCUMFLEX ACCENT|Basic Latin|Sk|centime
Autres symboles	`	Grave Accent	GRAVE ACCENT|Basic Latin|Sk|centime
Autres symboles	¦	Broken Bar	BROKEN BAR|Latin-1 Supplement|So
Autres symboles	¨	Diaeresis	DIAERESIS|Latin-1 Supplement|Sk
Autres symboles	©	Copyright Sign	COPYRIGHT SIGN|Latin-1 Supplement|So|droite|copyright droit auteur
Autres symboles	®	Registered Sign	REGISTERED SIGN|Latin-1 Supplement|So|marque deposee
Autres symboles	¯	Macron	MACRON|Latin-1 Supplement|Sk
Autres symboles	°	Degree Sign	DEGREE SIGN|Latin-1 Supplement|So|degre|degre temperature angle
Autres symboles	´	Acute Accent	ACUTE ACCENT|Latin-1 Supplement|Sk|centime
Autres symboles	¸	Cedilla	CEDILLA|Latin-1 Supplement|Sk
Autres symboles	˂	Modifier Letter Left Arrowhead	MODIFIER LETTER LEFT ARROWHEAD|Spacing Modifier Letters|Sk|gauche|fleche|lettre
Autres symboles	˃	Modifier Letter Right Arrowhead	MODIFIER LETTER RIGHT ARROWHEAD|Spacing Modifier Letters|Sk|droite|fleche|lettre
Autres symboles	˄	Modifier Letter Up Arrowhead	MODIFIER LETTER UP ARROWHEAD|Spacing Modifier Letters|Sk|haut|fleche|lettre
Autres symboles	˅	Modifier Letter Down Arrowhead	MODIFIER LETTER DOWN ARROWHEAD|Spacing Modifier Letters|Sk|bas|fleche|lettre
Autres symboles	˒	Modifier Letter Centred Right Half Ring	MODIFIER LETTER CENTRED RIGHT HALF RING|Spacing Modifier Letters|Sk|droite|lettre|centime
Autres symboles	˓	Modifier Letter Centred Left Half Ring	MODIFIER LETTER CENTRED LEFT HALF RING|Spacing Modifier Letters|Sk|gauche|lettre|centime
Autres symboles	˔	Modifier Letter Up Tack	MODIFIER LETTER UP TACK|Spacing Modifier Letters|Sk|haut|lettre
Autres symboles	˕	Modifier Letter Down Tack	MODIFIER LETTER DOWN TACK|Spacing Modifier Letters|Sk|bas|lettre
Autres symboles	˖	Modifier Letter Plus Sign	MODIFIER LETTER PLUS SIGN|Spacing Modifier Letters|Sk|plus|lettre
Autres symboles	˗	Modifier Letter Minus Sign	MODIFIER LETTER MINUS SIGN|Spacing Modifier Letters|Sk|moins|lettre
Autres symboles	˘	Breve	BREVE|Spacing Modifier Letters|Sk
Autres symboles	˙	Dot Above	DOT ABOVE|Spacing Modifier Letters|Sk
Autres symboles	˚	Ring Above	RING ABOVE|Spacing Modifier Letters|Sk
Autres symboles	˛	Ogonek	OGONEK|Spacing Modifier Letters|Sk
Autres symboles	˜	Small Tilde	SMALL TILDE|Spacing Modifier Letters|Sk
Autres symboles	˝	Double Acute Accent	DOUBLE ACUTE ACCENT|Spacing Modifier Letters|Sk|centime
Autres symboles	˞	Modifier Letter Rhotic Hook	MODIFIER LETTER RHOTIC HOOK|Spacing Modifier Letters|Sk|lettre
Autres symboles	˟	Modifier Letter Cross Accent	MODIFIER LETTER CROSS ACCENT|Spacing Modifier Letters|Sk|croix|lettre|centime
Autres symboles	˥	Modifier Letter Extra High Tone Bar	MODIFIER LETTER EXTRA-HIGH TONE BAR|Spacing Modifier Letters|Sk|lettre
Autres symboles	˦	Modifier Letter High Tone Bar	MODIFIER LETTER HIGH TONE BAR|Spacing Modifier Letters|Sk|lettre
Autres symboles	˧	Modifier Letter Mid Tone Bar	MODIFIER LETTER MID TONE BAR|Spacing Modifier Letters|Sk|lettre
Autres symboles	˨	Modifier Letter Low Tone Bar	MODIFIER LETTER LOW TONE BAR|Spacing Modifier Letters|Sk|lettre
Autres symboles	˩	Modifier Letter Extra Low Tone Bar	MODIFIER LETTER EXTRA-LOW TONE BAR|Spacing Modifier Letters|Sk|lettre
Autres symboles	˪	Modifier Letter Yin Departing Tone Mark	MODIFIER LETTER YIN DEPARTING TONE MARK|Spacing Modifier Letters|Sk|marque|lettre
Autres symboles	˫	Modifier Letter Yang Departing Tone Mark	MODIFIER LETTER YANG DEPARTING TONE MARK|Spacing Modifier Letters|Sk|marque|lettre
Autres symboles	˭	Modifier Letter Unaspirated	MODIFIER LETTER UNASPIRATED|Spacing Modifier Letters|Sk|lettre
Autres symboles	˯	Modifier Letter Low Down Arrowhead	MODIFIER LETTER LOW DOWN ARROWHEAD|Spacing Modifier Letters|Sk|bas|fleche|lettre
Autres symboles	˰	Modifier Letter Low Up Arrowhead	MODIFIER LETTER LOW UP ARROWHEAD|Spacing Modifier Letters|Sk|haut|fleche|lettre
Autres symboles	˱	Modifier Letter Low Left Arrowhead	MODIFIER LETTER LOW LEFT ARROWHEAD|Spacing Modifier Letters|Sk|gauche|fleche|lettre
Autres symboles	˲	Modifier Letter Low Right Arrowhead	MODIFIER LETTER LOW RIGHT ARROWHEAD|Spacing Modifier Letters|Sk|droite|fleche|lettre
Autres symboles	˳	Modifier Letter Low Ring	MODIFIER LETTER LOW RING|Spacing Modifier Letters|Sk|lettre
Autres symboles	˴	Modifier Letter Middle Grave Accent	MODIFIER LETTER MIDDLE GRAVE ACCENT|Spacing Modifier Letters|Sk|lettre|centime
Autres symboles	˵	Modifier Letter Middle Double Grave Accent	MODIFIER LETTER MIDDLE DOUBLE GRAVE ACCENT|Spacing Modifier Letters|Sk|lettre|centime
Autres symboles	˶	Modifier Letter Middle Double Acute Accent	MODIFIER LETTER MIDDLE DOUBLE ACUTE ACCENT|Spacing Modifier Letters|Sk|lettre|centime
Autres symboles	˷	Modifier Letter Low Tilde	MODIFIER LETTER LOW TILDE|Spacing Modifier Letters|Sk|lettre
Autres symboles	˸	Modifier Letter Raised Colon	MODIFIER LETTER RAISED COLON|Spacing Modifier Letters|Sk|lettre
Autres symboles	˹	Modifier Letter Begin High Tone	MODIFIER LETTER BEGIN HIGH TONE|Spacing Modifier Letters|Sk|lettre
Autres symboles	˺	Modifier Letter End High Tone	MODIFIER LETTER END HIGH TONE|Spacing Modifier Letters|Sk|lettre
Autres symboles	˻	Modifier Letter Begin Low Tone	MODIFIER LETTER BEGIN LOW TONE|Spacing Modifier Letters|Sk|lettre
Autres symboles	˼	Modifier Letter End Low Tone	MODIFIER LETTER END LOW TONE|Spacing Modifier Letters|Sk|lettre
Autres symboles	˽	Modifier Letter Shelf	MODIFIER LETTER SHELF|Spacing Modifier Letters|Sk|lettre
Autres symboles	˾	Modifier Letter Open Shelf	MODIFIER LETTER OPEN SHELF|Spacing Modifier Letters|Sk|lettre|ouvrant
Autres symboles	˿	Modifier Letter Low Left Arrow	MODIFIER LETTER LOW LEFT ARROW|Spacing Modifier Letters|Sk|gauche|fleche|lettre
Autres symboles	҂	Cyrillic Thousands Sign	CYRILLIC THOUSANDS SIGN|Cyrillic|So
Autres symboles	֍	Right Facing Armenian Eternity Sign	RIGHT-FACING ARMENIAN ETERNITY SIGN|Armenian|So|droite
Autres symboles	֎	Left Facing Armenian Eternity Sign	LEFT-FACING ARMENIAN ETERNITY SIGN|Armenian|So|gauche
Autres symboles	؎	Arabic Poetic Verse Sign	ARABIC POETIC VERSE SIGN|Arabic|So
Autres symboles	؏	Arabic Sign Misra	ARABIC SIGN MISRA|Arabic|So
Autres symboles	۞	Arabic Start Of Rub El Hizb	ARABIC START OF RUB EL HIZB|Arabic|So|etoile
Autres symboles	۩	Arabic Place Of Sajdah	ARABIC PLACE OF SAJDAH|Arabic|So
Autres symboles	۽	Arabic Sign Sindhi Ampersand	ARABIC SIGN SINDHI AMPERSAND|Arabic|So
Autres symboles	۾	Arabic Sign Sindhi Postposition Men	ARABIC SIGN SINDHI POSTPOSITION MEN|Arabic|So
Autres symboles	߶	Nko Symbol Oo Dennen	NKO SYMBOL OO DENNEN|NKo|So
Autres symboles	࢈	Arabic Raised Round Dot	ARABIC RAISED ROUND DOT|Arabic Extended-B|Sk
Autres symboles	৺	Bengali Isshar	BENGALI ISSHAR|Bengali|So
Autres symboles	୰	Oriya Isshar	ORIYA ISSHAR|Oriya|So
Autres symboles	௳	Tamil Day Sign	TAMIL DAY SIGN|Tamil|So
Autres symboles	௴	Tamil Month Sign	TAMIL MONTH SIGN|Tamil|So
Autres symboles	௵	Tamil Year Sign	TAMIL YEAR SIGN|Tamil|So
Autres symboles	௶	Tamil Debit Sign	TAMIL DEBIT SIGN|Tamil|So
Autres symboles	௷	Tamil Credit Sign	TAMIL CREDIT SIGN|Tamil|So
Autres symboles	௸	Tamil As Above Sign	TAMIL AS ABOVE SIGN|Tamil|So
Autres symboles	௺	Tamil Number Sign	TAMIL NUMBER SIGN|Tamil|So
Autres symboles	౿	Telugu Sign Tuumu	TELUGU SIGN TUUMU|Telugu|So
Autres symboles	൏	Malayalam Sign Para	MALAYALAM SIGN PARA|Malayalam|So
Autres symboles	൹	Malayalam Date Mark	MALAYALAM DATE MARK|Malayalam|So|marque
Autres symboles	༁	Tibetan Mark Gter Yig Mgo Truncated A	TIBETAN MARK GTER YIG MGO TRUNCATED A|Tibetan|So|marque
Autres symboles	༂	Tibetan Mark Gter Yig Mgo Um Rnam Bcad Ma	TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA|Tibetan|So|marque
Autres symboles	༃	Tibetan Mark Gter Yig Mgo Um Gter Tsheg Ma	TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA|Tibetan|So|marque
Autres symboles	༓	Tibetan Mark Caret Dzud Rtags Me Long Can	TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN|Tibetan|So|marque
Autres symboles	༕	Tibetan Logotype Sign Chad Rtags	TIBETAN LOGOTYPE SIGN CHAD RTAGS|Tibetan|So
Autres symboles	༖	Tibetan Logotype Sign Lhag Rtags	TIBETAN LOGOTYPE SIGN LHAG RTAGS|Tibetan|So
Autres symboles	༗	Tibetan Astrological Sign Sgra Gcan Char Rtags	TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS|Tibetan|So
Autres symboles	༚	Tibetan Sign Rdel Dkar Gcig	TIBETAN SIGN RDEL DKAR GCIG|Tibetan|So
Autres symboles	༛	Tibetan Sign Rdel Dkar Gnyis	TIBETAN SIGN RDEL DKAR GNYIS|Tibetan|So
Autres symboles	༜	Tibetan Sign Rdel Dkar Gsum	TIBETAN SIGN RDEL DKAR GSUM|Tibetan|So
Autres symboles	༝	Tibetan Sign Rdel Nag Gcig	TIBETAN SIGN RDEL NAG GCIG|Tibetan|So
Autres symboles	༞	Tibetan Sign Rdel Nag Gnyis	TIBETAN SIGN RDEL NAG GNYIS|Tibetan|So
Autres symboles	༟	Tibetan Sign Rdel Dkar Rdel Nag	TIBETAN SIGN RDEL DKAR RDEL NAG|Tibetan|So
Autres symboles	༴	Tibetan Mark Bsdus Rtags	TIBETAN MARK BSDUS RTAGS|Tibetan|So|marque
Autres symboles	༶	Tibetan Mark Caret Dzud Rtags Bzhi Mig Can	TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN|Tibetan|So|marque
Autres symboles	༸	Tibetan Mark Che Mgo	TIBETAN MARK CHE MGO|Tibetan|So|marque
Autres symboles	྾	Tibetan Ku Ru Kha	TIBETAN KU RU KHA|Tibetan|So
Autres symboles	྿	Tibetan Ku Ru Kha Bzhi Mig Can	TIBETAN KU RU KHA BZHI MIG CAN|Tibetan|So
Autres symboles	࿀	Tibetan Cantillation Sign Heavy Beat	TIBETAN CANTILLATION SIGN HEAVY BEAT|Tibetan|So
Autres symboles	࿁	Tibetan Cantillation Sign Light Beat	TIBETAN CANTILLATION SIGN LIGHT BEAT|Tibetan|So
Autres symboles	࿂	Tibetan Cantillation Sign Cang Te U	TIBETAN CANTILLATION SIGN CANG TE-U|Tibetan|So
Autres symboles	࿃	Tibetan Cantillation Sign Sbub Chal	TIBETAN CANTILLATION SIGN SBUB -CHAL|Tibetan|So
